L-wrist,R-wrist,L-elbow,R-elbow,L-shoulder,R-shoulder,L-knee,R-knee,L-ankle,R-ankle,L-hip,R-hip,Pose_Label
235.0761653,240.6011996,185.5717982,186.7552857,168.5296428,167.7314835,176.2422613,177.9760221,247.4147053,229.5106023,199.7700517,18.90623056,adho mukha svanasana
226.1189066,213.1022211,192.0015313,186.4460959,174.7491981,171.8633087,180.5073452,183.5390342,251.7186546,226.3537033,99.00566911,78.41013077,adho mukha svanasana
153.1694866,145.588429,173.8903353,174.740827,194.2854783,184.8274685,182.1610495,168.3062689,115.0020268,101.6184924,192.7048781,222.2894466,adho mukha svanasana
162.3065401,195.9188827,171.5886572,90.43970682,193.7255868,60.41729144,181.2509778,191.2895898,143.2706004,144.744253,260.8613931,77.34630093,adho mukha svanasana
114.4615987,177.2843749,151.07509,131.2341333,201.0030528,208.277708,182.2233761,183.7325221,134.0233012,134.8480915,206.9754625,25.20228721,adho mukha svanasana
163.2961095,156.0669496,167.0205738,167.7500682,197.6657654,195.1640123,180.6360261,181.59504,121.2013457,105.3716948,244.8620861,66.28844285,adho mukha svanasana
135.4483486,216.0305347,198.756918,199.9181933,179.1505749,178.0516398,180.8077299,181.9219561,217.6711597,236.8834444,182.5159437,1.99658782,adho mukha svanasana
206.217262,147.2993891,203.1765541,202.4147005,187.2514948,188.0755064,176.4680212,172.6997963,256.278994,248.5119789,17.63716654,200.1872363,adho mukha svanasana
156.8728872,159.761551,164.933182,165.0056718,189.9328761,188.6759837,182.732362,183.5541633,119.1082203,117.4334345,263.3064137,81.72054201,adho mukha svanasana
156.7938689,164.09349,171.4873535,170.8435357,184.2853527,181.777552,172.2727447,180.0043512,143.1223149,118.790184,285.9149271,104.3589251,adho mukha svanasana
198.0888178,200.5460307,191.9397653,198.2453579,189.6249033,184.5317357,186.17661,196.8832951,227.1160156,167.9173396,190.0889125,115.2262831,adho mukha svanasana
145.3592788,147.0969195,163.6320317,171.9845923,197.7272226,194.861845,177.392724,175.3143202,109.5702424,110.7138034,32.38772548,148.4555023,adho mukha svanasana
152.603353,150.4529483,173.5490747,175.3208434,193.9607595,185.4413761,181.2324101,167.7760515,115.2999041,102.3772271,200.5171757,218.5463915,adho mukha svanasana
157.098726,155.651364,173.0859423,169.4596692,183.7707065,183.8540579,175.0412832,177.5965452,121.1798347,112.8437506,270.5495976,90.05212901,adho mukha svanasana
211.8665996,213.9085523,200.5826262,197.0741887,154.3702814,155.1833836,181.7827088,180.2707223,262.3297599,266.2622842,72.44052754,107.9443783,adho mukha svanasana
137.2832941,154.7897014,161.4488324,160.2867802,203.1662768,196.6902421,175.7229067,182.5495366,116.0242917,212.99641,203.1936132,225.6216946,adho mukha svanasana
163.7302307,169.3228182,169.8401744,165.5146697,191.7649515,188.0905725,184.9474277,175.484863,164.0060546,141.7119632,77.23385054,106.3251956,adho mukha svanasana
149.9048501,156.3068959,153.6103556,149.8455993,178.8168784,185.6698999,170.141076,175.6772997,123.1117716,116.5255967,223.7921852,41.96320287,adho mukha svanasana
157.8395983,165.8335243,156.844437,153.4804844,183.9639262,183.4717279,180.1993327,181.9626367,99.68002806,98.39192073,12.40551313,192.0769037,adho mukha svanasana
140.0185832,147.8749623,168.0432567,166.4456919,185.9915679,187.8044497,182.7033017,181.1414092,120.2127788,117.2399327,61.62400271,118.1031715,adho mukha svanasana
